seller_id,product_id,qtde_produto
0015a82c2db000af6aaaf3ae2ecb0532,a2ff5a97bf95719e38ea2e3b4105bce8,3
001cca7ae9ae17fb1caed9dfb1094831,08574b074924071f4e201e151b152b4e,110
002100f778ceb8431b7a1020ff7ab48f,158102fe543dbaeb84d87811bfe06d0d,16
003554e2dce176b5555353e4f3555ac8,67f36b3689147d882d2b298fd0715d80,1
004c9cd9d87a3c30c522c48c4fc07416,54af11c815f92135fb554bd9c97dd418,13
00720abe85ba0859807595bbf045a33b,0e14941c183946f60e3b86585d05f984,5
00ab3eff1b5192e5f1a63bcecfee11c8,362db8a45afd47d3f54c0f34f7c828bc,1
00d8b143d12632bad99c0ad66ad52825,e4db070498b75e666a0736eb2f0abcd4,1
00ee68308b45bc5e2660cd833c3f81cc,d692d19cee022f7acab76373f297ad6a,22
00fc707aaaad2d31347cf883cd2dfe10,656e0eca68dcecf6a31b8ececfabe3e8,25
010543a62bd80aa422851e79a3bc7540,cd8cb942b6a58fcff9697762d3bc9cd7,2
010da0602d7774602cd1b3f5fb7b709e,dc3ecc737589882b0318d38cf8b3efaf,5
011b0eaba87386a2ae96a7d32bb531d1,508d48ea59be64138f0015d2cb9c75e7,2
01266d4c46afa519678d16a8b683d325,2ad27953852ba0daa0de1213686b7cec,1
013900e863eace745d3ec7614cab5b1a,055019def765ce08da9fac0585e927c3,3
014c0679dd340a0e338872e7ec85666a,d75fe2da6eb275eafad5535fff7a2005,3
014d9a685fd57276679edd00e07089e5,47969dd948e918289f809be899ddfb4c,5
0176f73cc1195f367f7b32db1e5b3aa8,485977d79fe47209050d22d220aaab7f,7
01bcc9d254a0143f0ce9791b960b2a47,8097e6d8de77768d9f72295263e440fa,5
01c97ebb5cdac52891c0ed1c37ba0012,d6d73c1fe2e8c0e3e90e2421ffa4b963,9
01cf7e3d21494c41fb86034f2e714fa1,98e91d0f32954dcd8505875bb2b42cdb,17
01ed254b9ff8407dfb9d99ba1e17d923,d285360f29ac7fd97640bf0baef03de0,4
01fd077212124329bac32490e8ef80d9,c1cf541d5b33a4b04ddc1c3be7aa1c86,13
01fdefa7697d26ad920e9e0346d4bd1b,b8b426747049f2d3d6e00b486d47dedb,42
0241d4d5d36f10f80c644447315af0bd,78efe838c04bbc568be034082200ac20,101
0249d282d911d23cb8b869ab49c99f53,89de415e2cf869a6b1274f51913f1a49,5
024b564ae893ce8e9bfa02c10a401ece,d9894482fba41f536a273ba2276d951f,6
028872bfa080090a9d0abd4f1af168f8,033fe931444d66d788d53aca5b7b22d5,3
02b72cdeb9cfcc429f1af6f4e3f3b737,b35c8479840135aa13a0f2d6aa8b7f38,2
02c988090b766852e088c69d7fb3b551,b655ebf10fa7727c97d82cffcfe96ab9,5
02d35243ea2e497335cd0f076b45675d,dc68ee0fcb033a1ab6714fbb5db60c15,14
